"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","significant","direction"
"GJB2",0.0225839369097113,-2.52809630052735,0.115,0.049,1,FALSE,"Not significant"
"PPP1R16B",0.0225971650009804,-3.76647079905238,0.077,0.154,1,FALSE,"Not significant"
"ANKRD42",0.0226002479164126,1.48403847691384,0.115,0.049,1,FALSE,"Not significant"
"GABRB3",0.0226012807676104,0.637325696829693,0.209,0.324,1,FALSE,"Not significant"
"LRFN5",0.0226495471610154,-2.99187463324985,0.137,0.22,1,FALSE,"Not significant"
"STXBP5-AS1",0.0226815951144451,-1.05432614521796,0.192,0.286,1,FALSE,"Not significant"
"ZNF234",0.0227239841195047,1.37614745460714,0.099,0.038,1,FALSE,"Not significant"
"SOS1",0.0227425249657743,22.0831103176684,0.775,0.676,1,FALSE,"Not significant"
"EPS8L1",0.0227522998554748,12.9078123842872,0.22,0.132,1,FALSE,"Not significant"
"AC106820.5",0.0228086941271019,0.908650084059083,0.082,0.027,1,FALSE,"Not significant"
